U+7E67	繧
U+7E69	繩
U+7E79	繹
U+7E7B	繻
U+7E7D	繽
U+7E88	纈
U+7E90	纐
U+7E92	纒
U+7E93	纓
U+7E94	纔
U+7E9B	纛
U+7E9C	纜
U+7F3A	缺
U+7F45	罅
U+7F4C	罌
U+7F4D	罍
U+7F4E	罎
U+7F50	罐
U+7F51	网
U+7F54	罔
U+7F68	罨
U+7F69	罩
U+7F6B	罫
U+7F82	羂
U+7F83	羃
U+7F86	羆
U+7F87	羇
U+7F88	羈
U+7F8C	羌
U+7F94	羔
U+7F9D	羝
U+7FAE	羮
U+7FAF	羯
U+7FB6	羶
U+7FB8	羸
U+7FB9	羹
U+7FD5	翕
U+7FE1	翡
U+7FE9	翩
U+7FF9	翹
U+8004	耄
U+8012	耒
U+8018	耘
U+801C	耜
U+8028	耨
U+803B	耻
U+8046	聆
U+805F	聟
U+8062	聢
U+806F	聯
U+8070	聰
U+8072	聲
U+807F	聿
U+8086	肆
U+8093	肓
U+809A	肚
U+80AD	肭
U+80B1	肱
U+80C4	胄
U+80D6	胖
U+80D9	胙
U+80DB	胛
U+80DD	胝
U+80E5	胥
U+80EF	胯
U+80FC	胼
U+8109	脉
U+8123	脣
U+812F	脯
U+8153	腓
U+815F	腟
U+8165	腥
U+8166	腦
U+816E	腮
U+8174	腴
U+8182	膂
U+8183	膃
U+8188	膈
U+818A	膊
U+8195	膕
U+81A9	膩
U+81B0	膰
U+81BA	膺
U+81BE	膾
U+81C9	臉
U+81D1	臑
U+81D9	臙
U+81DA	臚
U+81E0	臠
U+81E7	臧
U+81FA	臺
U+81FE	臾
U+8201	舁
U+8202	舂
U+820A	舊
U+820D	舍
U+8218	舘
U+821B	舛
U+8229	舩
U+822B	舫
U+8233	舳
U+8238	舸
U+8240	艀
U+8259	艙
U+825D	艝
U+825F	艟
U+8264	艤
U+8268	艨
U+826A	艪
U+826B	艫
U+826E	艮
U+8271	艱
U+8277	艷
U+8278	艸
U+827E	艾
U+828D	芍
U+829F	芟
U+82AB	芫
U+82AC	芬
U+82C5	苅
U+82D2	苒
U+82D3	苓
U+82DC	苜
U+82DF	苟
U+82E3	苣
U+82E7	苧
U+82F3	苳
U+82F4	苴
U+82F9	苹
U+8316	茖
U+8317	茗
U+8318	茘
U+8323	茣
U+832F	茯
U+8331	茱
U+8332	茲
U+8334	茴
U+8335	茵
U+834F	荏
U+8373	荳
U+8375	荵
U+838E	莎
U+8393	莓
U+8396	莖
U+839A	莚
U+839F	莟
U+83A8	莨
U+83AA	莪
U+83B1	莱
U+83BD	莽
U+83C1	菁
U+83CE	菎
U+83D8	菘
U+83DF	菟
U+83E0	菠
U+83F2	菲
U+83F4	菴
U+83FD	菽
U+8403	萃
U+840D	萍
U+8435	萵
U+8438	萸
U+844E	葎
U+8469	葩
U+846B	葫
U+846D	葭
U+846F	葯
U+8477	葷
U+8479	葹
U+8482	蒂
U+8484	蒄
U+849C	蒜
U+849F	蒟
U+84A1	蒡
U+84AD	蒭
U+84BB	蒻
U+84BF	蒿
U+84C6	蓆
U+84CA	蓊
U+84CD	蓍
U+84D0	蓐
U+84D6	蓖
U+84D9	蓙
U+84DA	蓚
U+84F4	蓴
U+84FF	蓿
U+8500	蔀
U+8514	蔔
U+8515	蔕
U+8517	蔗
U+8518	蔘
U+851A	蔚
U+851F	蔟
U+852C	蔬
U+8541	蕁
U+8548	蕈
U+854A	蕊
U+854B	蕋
U+8577	蕷
U+8580	薀
U+8588	薈
U+858A	薊
U+8590	薐
U+8591	薑
U+85A4	薤
U+85AE	薮
U+85B9	薹
U+85BA	薺
U+85C9	藉
U+85D0	藐
U+85D5	藕
U+85DC	藜
U+85F9	藹
U+85FA	藺
U+8602	蘂
U+860A	蘊
U+860B	蘋
U+8616	蘖
U+8617	蘗
U+861A	蘚
U+863F	蘿
U+8655	處
U+865F	號
U+8667	虧
U+8671	虱
U+868B	蚋
U+868C	蚌
U+8693	蚓
U+86A3	蚣
U+86A9	蚩
U+86AA	蚪
U+86AB	蚫
U+86AF	蚯
U+86B0	蚰
U+86B6	蚶
U+86C4	蛄
U+86C6	蛆
U+86CE	蛎
U+86D4	蛔
U+86DE	蛞
U+86DF	蛟
U+86E9	蛩
U+86EC	蛬
U+86EF	蛯
U+86F9	蛹
U+86FB	蛻
U+8706	蜆
U+8708	蜈
U+8709	蜉
U+870A	蜊
U+870D	蜍
U+8711	蜑
U+8712	蜒
U+871A	蜚
U+8725	蜥
U+8729	蜩
U+8734	蜴
U+8737	蜷
U+873F	蜿
U+8749	蝉
U+874C	蝌
U+874E	蝎
U+8753	蝓
U+8757	蝗
U+8759	蝙
U+875F	蝟
U+8760	蝠
U+8763	蝣
U+8768	蝨
U+876E	蝮
U+8774	蝴
U+877F	蝿
U+8782	螂
U+879F	螟
U+87A2	螢
U+87AB	螫
U+87AF	螯
U+87B3	螳
U+87BB	螻
U+87BD	螽
U+87C0	蟀
U+87C4	蟄
U+87C6	蟆
U+87CB	蟋
U+87D0	蟐
U+87D2	蟒
U+87E0	蟠
U+87EF	蟯
U+87F2	蟲
U+87F6	蟶
U+87F7	蟷
U+87FE	蟾
U+880D	蠍
U+880E	蠎
U+880F	蠏
U+8811	蠑
U+8815	蠕
U+8816	蠖
U+8822	蠢
U+8827	蠧
U+8831	蠱
U+8836	蠶
U+8839	蠹
U+8844	衄
U+884D	衍
U+8852	衒
U+8862	衢
U+886B	衫
U+8872	衲
U+8875	衵
U+887D	衽
U+887E	衾
U+888D	袍
U+8892	袒
U+8897	袗
U+8899	袙
U+889E	袞
U+88A4	袤
U+88AE	袮
U+88B1	袱
U+88B5	袵
U+88B7	袷
U+88BF	袿
U+88C3	裃
U+88C4	裄
U+88D8	裘
U+88D9	裙
U+88E8	裨
U+88F2	裲
U+88F9	裹
U+8904	褄
U+890A	褊
U+8913	褓
U+891E	褞
U+892A	褪
U+892B	褫
U+8936	褶
U+8938	褸
U+893B	褻
U+8941	襁
U+8944	襄
U+8960	襠
U+8964	襤
U+896F	襯
U+8974	襴
U+8988	覈
U+898A	覊
U+8998	覘
U+89A1	覡
U+89A6	覦
U+89AC	覬
U+89AF	覯
U+89B2	覲
U+89BA	覺
U+89BF	覿
U+89C0	觀
U+89DA	觚
U+89DC	觜
U+89DD	觝
U+89F4	觴
U+8A0C	訌
U+8A10	訐
U+8A25	訥
U+8A41	詁
U+8A48	詈
U+8A5B	詛
U+8A6D	詭
U+8A82	誂
U+8A84	誄
U+8A91	誑
U+8AA1	誡
U+8AA3	誣
U+8AA8	誨
U+8AC2	諂
U+8ACC	諌
U+8ACD	諍
U+8ADA	諚
U+8ADB	諛
U+8AE0	諠
U+8AE1	諡
